PM10,NO,NO2,NH3,SO2,CO,Ozone,PM2.5
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
88.19,7.47,7.23,6.76,22.77,0.25,44.77,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
34.7,6.98,7.31,6.54,10.25,0.33,0,0
0,0,0,6.84,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,6.59,0,0,0,0
0,0,0,0,0,0,0,0
185.55,7.68,6.78,6.74,27.51,0.28,19.97,0
0,0,0,6.77,0,0,0,0
0,0,0,6.74,0,0,0,0
77.44,7.2,6.71,6.8,18,0.24,9.08,0
0,0,0,6.71,0,0,0,0
13.7,7.77,6.48,6.94,21.9,0.36,23.28,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,7.14,0,0,0,0
204.26,4.68,4.79,6.53,25.96,0.3,0,0
7.12,0.82,0.34,7.69,2.72,0.02,72.29,0
14.26,0.97,0.83,7.47,1.93,0.02,126.32,0
3.41,0,0,0,1.31,0.02,59.52,0
27.73,0,0,0,10.89,0.1,4.45,0
95.08,8.37,6.46,7.14,33.99,0.19,10.96,0
97.4,8.74,5.17,8.24,52.38,0.4,85.92,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
262.73,7.2,7.47,6.89,39.02,0.37,41.84,0
110.4,8.68,7.74,6.63,33.91,0.37,18.99,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
144.78,7.99,9.13,7.04,31.9,0.35,34.32,0
212.3,9.78,8.99,7.1,89.42,0.37,31.05,0
129.1,8.82,7.65,6.71,89.18,0.45,17.43,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
116.24,7.62,10.08,6.93,63.59,0.25,19.19,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
196.1,8.66,8.27,6.73,91.23,0.5,44.99,0
231,9.57,9.47,7.06,38.73,0.69,10.7,0
235.05,8.59,9.31,6.84,43.56,0.09,16.29,0
0,0,0,0,0,0,0,0
247.74,8.95,10.27,6.86,38.92,0.29,54.88,0
151.5,8.22,10.51,7.13,3.26,0.26,58.86,0
184.55,7.01,10.37,7,79.47,0.18,53.65,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
180.76,12.3,11.88,6.91,55.76,0.41,50.3,0
143.91,10.69,10.6,6.99,36.66,0.34,90.94,0
129.18,9.18,10.14,7.03,37.54,0.33,41.65,0
188.23,9.98,10.52,6.94,29.68,0.33,27.7,0
177.54,9.2,10.33,6.88,42.64,0.34,23.97,0
0,0,0,0,0,0,0,0
156.18,8.65,10.51,6.93,77.78,0.34,29.83,0
145.03,9.43,10.48,6.99,52.17,0.33,29.96,0
212.33,10.26,11.79,6.95,66.61,0.42,32.03,0
232.32,10.77,11.84,6.91,70.32,0.32,64.05,0
271.11,12.93,12.47,7.05,78.31,0.31,25.11,0
220.89,14.97,14.63,6.63,85.85,0.36,7.87,0
375.3,15.11,12.56,7.7,0,0.32,1.77,0
129.04,9.65,11.58,6.88,64.96,0.41,26.46,0
107.8,8.37,9.78,6.92,37.87,0.34,24.43,0
163.5,0,0,0,50.87,0.33,27.51,0
282.4,0,0,0,26.82,0.34,6.8,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
171.78,8.39,10.79,6.79,79.85,0.39,37.81,0
189.38,9.07,11.08,6.86,53.03,0.29,47.68,0
262.68,9.69,12.75,6.9,54.29,0.31,19.53,0
188.3,8.93,11.07,7.02,0,0.35,28.55,0
153.89,8.47,10.36,6.87,0,0.3,27.33,0
157.91,8.31,10.65,6.87,60.44,0.33,30.38,0
203.75,9.57,11.79,6.9,54.73,0.37,41.61,0
243.04,11.12,12.07,6.95,56.76,0.3,26.63,0
161.28,9.77,11.53,7,56.52,0.34,24.17,0
199.77,10.55,11.86,6.95,60.16,0.31,23.39,0
131,9.74,10.96,7.1,59.35,0.36,26.98,0
148.4,8.73,10.2,7,59.06,0.35,24.47,0
245.88,12.17,13.36,6.86,75.06,0.33,24.53,0
169.99,10.49,12.02,7.08,73.35,0.33,18.72,0
218.69,9.87,12.12,7.04,92.61,0.34,17.22,0
93.29,8.78,10.08,7.06,45.41,0.29,18.11,0
122.15,9.17,10.42,7,48.74,0.31,20.11,0
129.73,8.88,10.09,6.94,45.35,0.37,17.88,0
89.11,10.3,11.42,6.91,68.53,0.32,16.45,0
189.49,9.82,10.65,7.01,57.23,0.31,19.75,0
168.13,9.94,10.89,6.88,47.19,0.37,21.81,0
116.94,8.45,9.36,7.04,56.99,0.31,17.16,0
155.26,8.85,10.6,6.82,55.94,0.35,18.34,0
176.28,9.07,9.79,7.01,53.64,0.3,20.29,0
266.85,9.93,11.14,6.96,89.52,0.41,15.41,0
228.15,11.06,11.79,7,93.62,0.34,15.66,0
311.03,10.04,10.79,6.95,82.53,0.28,15.71,0
207.88,8.88,9.35,6.95,52.59,0.3,16.69,0
248.61,8.33,8.9,7.02,43.14,0.33,24,0
138.59,8.73,9.31,6.87,66.87,0.33,18.25,0
271.45,9.79,10.41,6.88,85.98,0.37,15.43,0
278.83,9.63,10.19,6.97,54.05,0.27,19.28,0
136.32,9.31,10.91,6.67,85.1,0.37,20.39,0
149.25,9.97,10.28,6.92,103.66,0.38,29.38,0
129.02,10.5,10.07,6.9,78.74,0.31,11.5,0
56.51,8.33,8.78,6.88,39.37,0.29,11.6,0
82.72,8.39,8.85,7,46.85,0.31,35.1,0
108.1,16.09,10.72,6.91,72.73,0.36,46.14,0
100.7,9.21,9.55,6.97,46.58,0.25,165.48,0
0,0,0,0,0,0,0,0
235.37,11.09,11.34,6.56,98.62,0.37,39.32,0
207.24,8.59,9.78,6.95,103.52,0.34,45.18,0
143.35,8.72,9.34,6.93,87.47,0.3,45.1,0
161.16,9.45,9.82,6.87,81.63,0.32,30.09,0
157.81,10.15,9.8,6.97,0,0.42,36.1,0
183.55,10.81,10.4,6.95,0,0.34,38.58,0
227.37,9,9.68,6.89,0,0.37,38.02,0
120.48,9.76,8.52,6.87,0,0.32,42.42,0
119.84,10.33,8.99,6.93,0,0.38,35.21,0
130.7,8.85,9.29,6.86,86.66,0.3,41.78,0
235.53,11.1,9.33,6.93,0,0.4,20.79,0
124.09,8.93,9.04,6.92,0,0.33,21.18,0
124.68,8.27,8.8,6.86,0,0.29,30.26,0
207.67,8.38,8.27,6.86,0,0.28,78.55,0
261.37,8.13,7.93,6.9,69.1,0.3,26.57,0
120.62,8.52,8.27,6.91,0,0.31,28.92,0
201.43,8.19,8.55,6.83,69.27,0.34,26.67,0
188.85,8.84,10.9,6.9,134.06,0.34,39.38,0
145.41,8.67,10.01,6.74,87.1,0.34,95.46,0
124.47,8.29,9.08,6.85,93.89,0.3,54.51,0
134.79,8.99,9.25,6.87,91.16,0.31,33.16,0
