PM10,NO,NO2,NH3,SO2,CO,Ozone,PM2.5
639.27,7.3,6.89,6.74,20.33,0,47.56,0
405.92,7.21,7.22,6.74,39.02,0,35.61,0
336.43,6.48,7.14,6.67,108.81,0,26.77,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
593.11,7.58,8.06,6.74,94.91,0,14.8,0
516.6,7.43,7.91,6.7,101.78,0,9.46,0
499.83,7.43,7.86,6.61,84.54,0,10.01,0
497.73,7.29,7.86,6.69,99.57,0,7.94,0
471.82,7.18,7.67,6.67,99.4,0,15.62,0
295.2,7,7.28,6.62,66.55,0,19.7,0
352.4,7.12,7.32,6.68,78.4,0,14.77,0
254,6.77,7.39,6.61,49.23,0,9.91,0
115.29,6.81,7.58,6.63,46.48,0,7.49,0
271.18,7.44,7.74,6.61,47.37,0,7.97,0
489.94,7.57,7.75,6.66,62.33,0,13.99,0
374.36,7.03,7.48,6.68,52.35,0,16.82,0
464.4,6.92,7.38,6.88,24.9,0,8.91,0
0,0,0,0,0,0,0,0
255.5,6.51,7.11,6.68,94.95,0,37.44,0
0,0,0,0,0,0,0,0
501.98,7.77,7.77,6.73,89.86,0,83.41,0
369.99,7.14,7.7,6.63,71.83,0,49.85,0
289.32,6.97,7.1,6.68,49.53,0,19.93,0
362.84,7.23,7.85,6.68,116.21,0,21.35,0
362.71,7.01,7.36,6.71,70.47,0,16.38,0
419.99,7.12,7.54,6.71,79.27,0,18.3,0
489.93,7.09,7.76,6.64,53.79,0,16.43,0
409.58,7.82,8.07,6.71,66.85,0,17.38,0
494.93,7.81,7.89,6.68,92.84,0,29.06,0
559.42,7.6,7.73,6.7,73.3,0,27.53,0
599.53,8.08,8.01,6.73,76.26,0,62.7,0
496.23,7.64,7.8,6.66,86.82,0,26.99,0
531.36,7.77,7.77,6.74,85.18,0,8.68,0
333.29,9.98,12.16,6.16,63.72,0,14.84,0
273.6,9.88,10.9,6.26,64.15,0,112.67,188.93
210.33,10.49,11,6.31,58.64,0,29.6,134.27
242.64,10.68,11.2,6.36,82.82,0,12.55,154.6
262,10.94,11.49,6.42,83.68,0,12.37,165.48
305.53,10.72,11.7,6.33,86.05,0,19.41,183.3
280.96,9.84,10.8,6.27,101.57,0,58.79,154.77
156.75,9.75,10.82,6.25,49.95,0,117.7,96.79
179.06,10.02,10.57,6.37,57.07,0,50.63,107.36
203.56,10.02,10.67,6.36,75.31,0,41.44,121.15
190.23,9.94,10.46,6.35,53.41,0,34.48,115.59
206.05,9.98,10.39,6.25,72.02,0,90.5,115.65
223.03,9.78,10.65,6.33,79.05,0,40.46,126.8
219.79,10.17,10.67,6.34,70.7,0,51.95,112.87
283.94,9.92,10.78,6.35,94.69,0,33.31,159.52
227.01,9.72,10.21,6.37,113.89,0,31.6,128.95
217.54,9.6,10.32,6.3,85.12,0,41.79,120.49
191.49,9.44,10.2,6.35,104.23,0,30.5,101.39
178.09,9.47,10.24,6.35,70.22,0,16.47,104.31
112.94,9.73,10.02,6.32,40.94,0,34.92,73.38
120.77,9.49,10.07,6.3,43.57,0,38.16,72.5
107.75,9.67,10.1,6.28,38.71,0,46.67,58.01
154.05,10.38,10.44,6.4,63.05,0,27.33,78.67
237.53,10.14,10.34,6.34,86.71,0,29.24,128.91
211.5,10.33,10.29,6.41,81.88,0,11.09,115.85
183.31,9.54,10.29,6.33,86.54,0,14.27,90.45
206.11,9.74,10.08,6.38,95.64,0,14.28,101.24
175.53,9.5,9.92,6.34,90.53,0,16.22,94.45
172.7,9.08,10.02,6.31,92.99,0,18.22,99.15
194.84,9.64,10.13,6.33,87.6,0,14.88,98.35
240.23,9.53,10.26,6.29,143.18,0,15.21,120.04
207.87,9.6,10.6,6.27,120.93,0,19.22,119.86
118.18,9.25,10.25,6.26,0,0,23.65,63.67
135.87,9.41,10.13,6.28,0,0,15.6,70.69
159.39,9.44,10.31,6.31,0,0,12.17,87.84
156.29,9.71,10.17,6.35,110.34,0,14.91,88.77
193.27,9.54,10.27,6.3,94.17,0,15.14,110.04
180.98,9.47,10.09,6.33,63.78,0,16.15,99.71
154.32,9.17,9.79,6.3,0,0,15.56,87.68
38.22,9.17,9.74,6.3,0,0,17.01,24.36
77,9.03,9.74,6.33,0,0,22.83,42.94
106.23,9.05,9.68,6.33,0,0,22.06,60.71
208.39,9.75,10.09,6.44,0,0,101.79,103.42
177.8,9.56,10.12,6.28,0,0,20.38,88.49
189.96,9.86,10.08,6.29,0,0,35.37,91.65
229.45,10.01,10.11,6.31,0,0,23.31,117.16
133.98,9.18,9.5,6.31,0,0,70.9,71.94
122.4,8.98,9.51,6.33,0,0,23.44,59.43
71.06,9.23,9.43,6.32,22.73,0,14.81,42.66
109.89,9.01,9.59,6.29,18.79,0,14.88,59.8
71.17,9.1,9.33,6.33,7.26,0,6.43,31.32
63.14,9.01,9.33,6.37,6.2,0,55.42,13.75
84.37,9.61,9.5,6.34,8.06,0,121.81,47.96
144.51,9.39,9.58,6.4,14.25,0,57.53,81.84
148.44,9.17,9.23,6.36,15.52,0,39.03,84.33
130.36,9.11,9.28,6.36,13.62,0,13.76,73.38
147.84,9.33,9.35,6.35,13.4,0,15.24,82.14
135.18,9.33,9.38,6.34,12.52,0,18.19,83.32
83.44,9.32,9.77,6.33,7.62,0,22.74,45.71
105.95,9.13,9.72,6.31,8.8,0,19.56,58.18
141,9.35,9.93,6.29,12.34,0,16.13,70.16
204.06,9.48,10.07,6.33,20.6,0,16.27,105.7
160.88,9.38,9.79,6.32,12.97,0,19.84,85.72
170.71,9.64,10.17,6.29,15.89,0,16.12,89.39
223.59,9.99,9.87,6.39,15.72,0,19.26,111.64
127.86,9.23,10.12,6.36,8.2,0,21.82,68.43
93.68,9.06,10.34,6.3,8.78,0,13.05,49.09
77.38,9.24,9.9,6.23,8.18,0,29.74,41.86
106.11,8.98,9.69,6.31,7.89,0,32.16,58.48
73.71,9.22,9.68,6.32,7.86,0,16.64,39.64
115.85,9.21,9.65,6.24,9.34,0,21.99,60.21
127.4,9.19,9.61,6.32,11.47,0,29.23,67.36
130.91,8.89,9.66,6.26,10.57,0,119.41,69.85
89.96,9.32,9.51,6.31,9.11,0,21.22,38.27
95.85,8.86,9.4,6.31,6.72,0,21.96,46.01
142.23,9.08,9.41,6.31,10.34,0,20.51,62.18
160.4,9.01,9.49,6.29,9.96,0,25.23,70.44
199.79,9.19,9.95,6.21,10.28,0,12.18,83.63
118.6,9.11,9.74,6.29,11.19,0,21.74,55.67
154.69,9.23,9.76,6.32,15.89,0,19.37,70.81
173.35,9.01,9.68,6.29,11.38,0,27.05,102.34
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
88.86,10.77,10.55,6.31,6.61,0,8.18,53.68
115.86,9.13,9.55,6.29,13.68,0,17.96,54.41
167.25,8.96,9.74,6.32,11.74,0,18.17,79.44
125.08,9.06,9.78,6.25,8.91,0,11.28,59.89
111.64,8.89,9.53,6.32,4.29,0,4.41,57.56
102.32,9.04,9.49,6.3,4.59,0,7.83,56.37
75.3,9.02,9.58,6.25,8.32,0,15.38,39.6
70.71,8.78,9.37,6.28,7.4,0,14.89,41.18
100.89,9.06,9.51,6.28,9.76,0,15.02,53.59
93.33,8.97,9.52,6.33,7.65,0,9.02,50.11
131.83,8.83,9.69,6.29,6.84,0,11.26,71.05
113.93,9.1,9.59,6.25,4.27,0,16.8,60.41
116.83,9.15,9.47,6.25,9.07,0,27.28,56.34
104.24,8.9,9.46,6.27,5.4,0,38.66,49.87
127.44,9.03,9.38,6.3,4.58,0,53.15,61.75
145.55,9.14,9.29,6.3,4.94,0,56.93,70.99
251.41,8.9,9.38,6.27,7.41,0,126.94,78.78
96.01,9.15,9.36,6.3,8.33,0,60.67,44.65
67.28,8.91,9.19,6.39,5.72,0,59.66,32.83
75.45,9,9.14,6.28,6.83,0,63.96,34.58
111.95,8.87,9.29,6.32,10.35,0,30.26,47.7
83.16,8.91,9.49,6.3,9.63,0,24.41,47.59
75.67,8.96,9.51,6.35,9.77,0,14.19,41.96
92.4,9.18,9.78,6.29,10.1,1.84,19.32,0
70.33,9.18,9.53,6.26,5.89,1.71,20.83,0
91.98,9.11,9.73,6.21,6.01,1.91,45.32,0
115.11,8.97,9.57,6.3,3.94,1.67,100.07,0
169.35,8.32,8.42,6.51,6.8,2.09,62.36,0
229.86,7.95,7.76,6.57,14.16,2.44,55.23,0
100.4,7.83,7.59,6.61,4.99,1.72,44.5,0
58.89,7.86,7.43,6.63,5.44,1.39,43.91,0
40.47,7.81,7.71,6.52,5.61,1.48,33.04,0
43.84,7.88,7.68,6.58,4.18,1.56,29.3,0
36.14,7.92,7.38,6.59,4.41,1.53,10.47,0
62.49,7.63,7.64,6.54,5.03,1.44,19.5,0
121.35,8,7.69,6.49,9.85,1.73,35.56,0
155.61,8.06,7.76,6.58,14.16,2.43,103.83,0
180.63,7.98,7.6,6.61,12.08,1.92,70.74,0
192.93,7.85,7.45,6.59,12.97,1.58,65.68,0
195.61,8.01,7.59,6.57,0,1.94,41.61,0
191.53,8.06,7.52,6.6,0,2.02,34.16,0
145.9,8.02,7.35,6.7,0,1.96,47.99,0
160.13,7.95,7.53,6.61,8.92,1.92,85.02,0
71.48,7.81,7.33,6.59,5.07,1.79,31.31,0
83.94,7.77,7.49,6.6,7.4,1.76,26.71,0
48.14,8.05,8.03,6.43,12.53,1.59,10.85,0
97.05,7.93,7.8,6.61,0,3.36,16.3,0
92.43,7.99,7.52,6.62,14.91,2.02,28.61,0
80.11,7.98,7.66,6.59,12.67,2.43,28.86,0
70.76,8,7.68,6.61,5.81,1.47,60.94,0
70.97,7.74,7.68,6.55,7.91,1.68,141.85,0
60.34,7.75,7.56,6.58,5.02,1.48,65.98,0
54.02,7.74,7.42,6.65,8.53,1.59,35.52,0
60.92,7.71,7.42,6.63,5.12,1.74,43.79,0
68.35,7.93,7.59,6.6,10.96,1.68,22.72,0
0,0,0,0,0,0,0,0
88.18,8.24,8.05,6.66,10,2.25,13.15,0
87.95,8.15,7.69,6.57,15.09,1.28,33.86,0
50.78,7.88,7.25,6.62,11.34,1.53,33.27,0
61.62,7.9,7.13,6.54,13.95,1.49,37.57,0
66.48,7.92,7.81,6.54,8.81,1.33,43.49,0
39.25,0,0,0,27.93,1.95,32.5,0
76.32,7.59,7.46,6.49,6.47,1.45,10.3,0
244.56,11.42,7.12,6.43,46.16,0.63,12.71,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
116.27,9.28,10.55,6.09,7.68,1.1,15.36,0
25.44,8.41,8.95,6.29,3.78,1.3,6.21,0
33.84,8.54,9.04,6.31,8.01,1.25,8.73,0
40.67,8.72,8.99,6.29,4.62,1.29,12.24,0
39.92,8.62,9.14,6.27,7.39,1.55,13.62,0
45.48,8.36,9.42,6.24,5.65,1.48,45.67,0
43.26,8.77,9.45,6.26,6.95,1.92,44.88,0
34.17,8.46,9.38,6.26,5.32,1.21,14.25,0
36.07,8.68,9.36,6.27,4.65,1.29,4.6,0
28.23,8.53,8.95,6.29,4.66,1.15,5.47,0
30.83,8.57,9.16,6.24,3.95,1.43,7.19,0
25.86,8.61,9.17,6.29,4.63,1.5,0,0
28.88,8.57,9.66,6.18,5.97,1.55,110.63,0
38.14,8.57,9.41,6.25,4.86,1.46,80.03,0
29.58,8.68,9.43,6.26,4.47,1.69,78.38,0
24.02,8.83,9.37,6.27,4.87,1.88,61.97,0
0,0,0,0,0,0,0,0
26.08,8.64,9.38,6.25,4.32,1.28,65.26,0
23.15,8.69,9.39,6.26,5.44,1.37,15.82,0
23.48,8.72,9.11,6.34,4.13,1.15,3.5,0
27.27,8.67,9.36,6.3,3.9,1.37,3.87,0
36.65,8.61,9.42,6.26,5.96,1.47,5.03,0
38.3,8.48,9.23,6.29,5.06,1.62,5.41,0
32.12,8.51,9.41,6.21,4.46,1.4,6.12,0
25.64,8.46,9.07,6.28,5.14,1.65,11.24,0
32.51,8.83,9.15,6.29,4.7,2.14,3.4,0
17.92,8.57,9.41,6.21,4.94,1.27,3.14,0
17.43,8.63,9.16,6.3,4.76,1.58,2.94,0
19.86,8.73,9.24,6.31,4.75,1.93,3.53,0
17.62,8.86,9.35,6.28,5.93,2.69,5.17,0
2.48,8.57,9.27,6.29,7.68,1.89,6.8,0
20.33,8.78,9.41,6.24,7.48,2.13,5.11,0
34.41,8.67,9.45,6.26,5.34,1.44,8.35,0
24.22,8.7,9.36,6.21,4.31,1.67,4.9,0
23.69,8.6,9.38,6.24,4.46,1.19,4.53,0
28.43,8.69,9.32,6.26,7.91,1.87,5.48,0
34.27,8.57,9.32,6.3,4.66,1.67,26.28,0
26.91,8.65,9.32,6.25,4.36,2.24,8.56,0
29.94,8.86,9.32,6.28,4.76,1.5,5.85,14.08
27.11,8.69,9.44,6.27,5.12,1.96,8.44,14
38.19,8.66,9.48,6.26,4.54,2.34,8,19
30.38,8.72,9.32,6.27,3.63,1.85,12.75,17.52
28.29,8.72,9.43,6.23,3.77,1.96,6.73,11
27.01,8.77,9.46,6.22,3.68,2.08,17.85,11
22.23,8.62,9.33,6.26,3.54,1.99,17.01,11
27.18,8.82,9.38,6.25,3.6,1.8,5.61,11
30.1,8.64,9.22,6.34,3.58,1.88,6.05,11
24.44,8.74,9.45,6.3,3.62,1.92,7.62,11
35,8.81,9.38,6.32,3.78,1.99,6.38,11
26.42,8.75,9.44,6.25,3.51,1.74,6.06,11
35.59,8.67,9.46,6.2,4.5,1.96,5.61,11
30.94,8.91,9.12,6.33,3.85,2.26,8.03,11
37.08,8.87,9.39,6.23,3.71,2.24,7.59,11
27.19,8.85,9.46,6.26,3.56,2.05,4.62,11
24.86,8.83,9.39,6.27,3.78,2.17,5.77,11
17.33,8.96,9.23,6.33,3.66,1.79,6.6,11
23.46,8.85,9.28,6.29,3.53,1.76,40.58,11
20.15,8.79,9.21,6.31,3.49,1.65,5.07,11
20.94,8.81,9.5,6.23,4.04,1.7,5.93,11
23.45,8.7,9.24,6.26,3.49,1.08,5.44,12.26
28.72,8.69,9.22,6.29,3.45,0,5.28,15
29.71,8.53,9.19,6.33,3.41,0,37.43,15
36.09,8.96,9.35,6.28,3.24,0,82.14,15
28.75,8.76,9.28,6.27,3.55,0,5.27,15
29.84,8.9,9.25,6.31,3.61,0,4.82,15
35.29,8.9,9.21,6.27,3.5,0,7.93,15
70.94,8.67,9.25,6.3,3.5,0,12.53,15
26.07,8.87,9.19,6.27,3.77,0,19.46,17.7
32.6,9.06,9.38,6.28,3.56,0,4.4,42.13
47.9,9.06,9.18,6.3,3.53,0,3.64,49.32
29.4,9.09,9.23,6.3,4.05,0,4.78,36.5
65,8.76,9.17,6.28,4,0,5.82,65
34,8.57,9.43,6.19,5.05,0,9.94,51.3
72.98,8.89,9.47,6.3,5.7,0,5.77,54.12
63.41,8.76,9.44,6.26,3.72,0,3.27,45.22
61.98,9,9.42,6.24,3.31,0,3.04,41.26
59.9,8.82,9.28,6.28,3.53,0,3.12,35.78
59.33,8.86,9.34,6.29,3.42,0,7.09,34.58
62.35,8.83,9.14,6.27,3.58,0,3.62,43.71
64.09,8.75,8.94,6.3,3.48,0,3.35,35.49
54.5,8.71,9.02,6.3,3.71,0,8.51,27.55
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
65.59,8.71,9.16,6.31,4.73,0,51.9,38.6
57.84,8.97,8.98,6.35,4.54,0,18.88,43.79
65.54,8.86,9.3,6.28,5.09,0,58.59,57.37
68.5,8.7,9.26,6.27,4.18,0,20.82,55.6
64.6,8.7,9.11,6.3,5.27,0,131.3,49.93
62.61,8.69,9.01,6.26,4.8,0,63.9,40.32
62.44,8.94,9.3,6.31,5.62,0,0,43.09
67.44,9.17,9.21,6.31,5.52,0,0,41.25
74.8,9.15,9.43,6.34,5.48,0,52.66,53.96
63.23,8.84,9.17,6.3,5.47,0,40.07,54.42
69.61,8.89,9.19,6.28,5.54,0,38.07,45.89
64.91,8.92,9.35,6.27,8.3,0,45.62,61.91
74.39,9.06,9.34,6.31,7.16,0,22.29,73.44
65.23,9,9.35,6.34,9.2,0,20.85,79.87
56.65,9.18,9.35,6.28,6.69,0,33.86,68.83
67.73,8.52,9.34,6.29,6.09,0,21.94,45.63
95.99,8.96,9.62,6.21,6.7,0,130.28,59.19
100.37,8.75,9.33,6.3,5.64,0,71.93,46.38
90.27,8.75,9.09,6.27,4.57,0,48.1,32.34
99.51,9.08,9.28,6.32,6.23,0,50.27,53.91
103.91,8.87,9.51,6.32,6.68,0,43.49,64.4
99.47,8.85,9.13,6.32,4.72,0,53.41,34.43
92.62,8.67,9.31,6.21,4.95,0,31.48,27.47
88.89,8.85,9.15,6.29,4.52,0,17.18,23.18
103.19,9.1,9.2,6.36,6.5,0,18.65,51.07
91.99,8.94,9.39,6.32,6.51,0,21.77,53.09
108.57,8.86,9.07,6.33,4.97,0,46.58,58.95
95.04,8.66,8.95,6.3,4.5,0,95.54,54.21
103.43,8.59,9.13,6.28,4.92,0,47.41,70.4
102.21,8.73,8.85,6.32,4.91,0,26.31,69.54
96.76,8.65,8.93,6.32,5.21,0,25.8,63.91
114.31,8.8,9.04,6.34,4.59,0,25.91,85.61
115.72,8.78,8.99,6.32,4.46,0,45.55,80.72
111.83,8.75,8.95,6.27,4.98,0,35.08,78.92
108.54,8.77,9.19,6.31,5.3,0,47.77,74.34
125.45,9.08,9.84,6.33,6.46,0,98.56,90.08
112.24,8.75,9.58,6.26,6.08,0,93.99,78.92
97.47,8.73,9.24,6.3,5.83,0,69.49,43.86
98.56,8.74,9.17,6.3,6.07,0,54.95,43.32
121.15,8.64,9.03,6.32,5.08,0,52.05,53.05
111.31,8.95,9.12,6.31,6.09,0,70.71,63.78
207.92,8.81,9.51,6.26,10.04,0,54.52,78.73
168.14,8.82,9.33,6.33,0,0,58.03,89.47
168.34,8.78,9.21,6.3,0,0,61.09,84.12
162.49,8.74,9.3,6.29,0,0,63.25,80.33
164.59,8.97,9.33,6.37,23.57,0,55.29,76.01
174.9,8.69,9.47,6.28,27.67,0,68.5,94.25
154.86,8.65,9.45,6.29,22.54,0,57.62,83.56
185.77,9.15,9.68,6.3,30.63,0,55.16,100.62
207.41,8.7,9.53,6.27,28.99,0,49.76,161.31
126.37,8.86,9.74,6.32,24.07,0,56.35,0
186.02,8.8,9.66,6.32,23.97,0,55.42,0
228.51,9.02,9.66,6.26,25.79,0,57.11,118.55
230.63,8.9,9.83,6.31,30,0,64.99,143.1
249.1,8.88,9.54,6.32,26.07,0,45.42,121.95
278.65,8.69,9.57,6.34,32.02,0,57.2,136.16
263.07,8.78,9.36,6.3,26.54,0,45.82,109.66
208.88,8.39,9.34,6.31,26.47,0,58.18,101.59
183.67,8.64,9.01,6.32,26.71,0,46.07,85.49
151.96,8.47,9.01,6.38,21.56,0,55.1,73.7
164.02,8.66,9.31,6.39,24.92,0,44.61,81.01
177.21,8.57,9.38,6.29,22.61,0,27.14,87.1
184.91,8.66,9.42,6.29,27.54,0,60.93,92.01
183,8.54,9.3,6.36,24.02,0,27.26,87.69
203.18,9.3,9.76,6.37,32.39,0,40.96,97.79
236.62,9.05,9.46,6.37,25,0,21.26,97.29
237.03,8.49,9.32,6.33,34.94,0,30.47,102.44
216.74,8.68,9.45,6.38,37.65,0,64.77,92.7
217.9,8.66,9.48,6.38,29.12,0,27.6,96.14
234.74,8.52,9.52,6.35,31.5,0,78.12,105.9
243.66,8.57,9.58,6.34,37.92,0,74.88,115.19
253.62,8.54,9.61,6.36,36.09,0,55.96,137.94
183.42,8.54,9.56,6.31,25.42,0,43.95,97.35
163.76,8.59,8.8,6.42,29.29,0,47.02,76.79
109.41,8.45,8.88,6.42,27.18,0,46.46,57.01
94.33,8.21,8.54,6.34,20.51,0,51.41,59.52
150.2,8.39,8.93,6.37,24.03,0,57.14,111.88
140.3,8.54,9,6.37,23.03,0,53.99,64.19
184.12,8.66,9.25,6.44,20.72,0,62.35,73.72
217.07,8.79,9.43,6.41,18.72,0,72.54,70.13
265.93,8.73,9.38,6.37,22.46,0,61.94,79.71
295.87,8.61,9.39,6.39,25.51,0,43.48,93.55
262.97,8.53,9.54,6.4,29.57,0,34.27,84.2
239.34,8.55,9.34,6.41,24.16,0,42.79,74.58
207.79,8.41,9.23,6.42,26.31,0,47.83,93.12
176.13,9.8,9.28,6.44,21.19,0,44.58,81.73
165.99,8.78,9.57,6.32,18.74,0,25.48,73.77
168.07,9.01,9.14,6.43,24.18,0,28.89,64.46
186.39,8.87,9.16,6.43,24.61,0,23.72,71.97
214.3,9.32,9.35,6.45,26.73,0,22.02,78.34
183.78,8.9,8.86,6.44,25.97,0,17.36,64.74
139.76,8.78,8.84,6.49,25.67,0,15.99,62.82
105.29,8.8,8.98,6.4,22.61,0,15.61,41.84
137.48,8.87,9.07,6.45,23.59,0,14.61,53.31
103.32,8.59,8.48,6.5,22.18,0,26.17,39.62
167.28,8.89,8.78,6.51,24.35,0,23.92,54.61
215.44,8.97,9.23,6.48,25.42,0,25.67,70.91
260.15,8.91,9.4,6.46,31.79,0,75.4,83.3
177.89,8.78,8.83,6.51,29.65,0,155.17,65.66
128.41,8.65,8.54,6.5,23.1,0,122.14,47.05
121.77,8.82,8.7,6.42,23.85,0,75.03,52.99
128.32,8.95,8.76,6.48,24.87,0,79.9,50.75
177.99,8.69,9.15,6.45,22.27,0,62.36,70.05
235.61,8.95,9.42,6.42,36.38,0,60.8,80.77
277.42,8.92,9.38,6.43,42.81,0,53.4,71.97
259.02,8.7,9.05,6.45,30.18,0,52.7,74.84
205.22,8.85,8.87,6.51,29.21,0,47.89,61.68
182.21,8.8,8.74,6.44,24.2,0,65.25,59.22
138.15,8.56,8.4,6.46,22.55,0,77.61,49.65
111.01,8.66,8.4,6.5,24.21,0,68.11,47.1
188.24,8.96,9.02,6.46,36.41,0,44.55,65.92
254.57,8.67,9.07,6.43,36.6,0,49.35,81.08
193.4,8.27,7.85,6.62,26.33,0,52.06,74.04
137.26,7.93,6.96,6.73,22.11,0,50.16,58.26
154.27,7.93,6.62,6.79,25.43,0,47.62,48.26
150.75,7.46,6.26,6.74,21.98,0,56.25,49.09
145.31,7.48,6.32,6.73,23.34,0,57.1,52.93
309.38,7.78,6.64,6.69,41.75,0,53.54,76.51
214.66,7.73,6.23,6.74,28.53,0,41.88,78.09
202.79,7.43,6.2,6.78,27.22,0,57.16,75.38
134.78,7.91,7.19,6.59,20.05,0,65.6,73.04
142.93,7.79,7.1,6.65,27.99,0,52.68,54.36
118.59,7.53,6.65,6.72,20.26,0,51.33,49.08
156.1,7.75,6.77,6.76,28.71,0,51.73,53.57
216.1,7.67,7,6.63,36.39,0,51.72,66.78
190.03,7.66,6.91,6.7,28.99,0,49.37,62.18
138.67,7.5,6.8,6.72,27.43,0,78.72,46.21
200.46,7.79,6.8,6.7,29.44,0,49.92,76.58
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
166.61,26.48,7.31,10.07,28.34,0,41.88,84.93
152.46,22.99,11.62,8.81,23.93,0,34.67,87.44
144.36,24.24,11.07,8.65,21.3,0,38.68,78.78
194.72,22.58,11.67,8.67,30.88,0,40.75,98.2
234.31,24.4,11.76,8.95,29.28,0,30.3,83.85
132.59,21.23,10.7,8.83,27.5,0,38.18,54.67
138.08,24.12,9.42,10.18,27.97,0,39.02,57.75
180.03,24.63,10.97,9.02,26.84,0,40.3,80.72
182.72,23.14,10.31,8.99,31.72,0,44.65,85.41
295.43,23.09,10.58,8.67,43.5,0,41.83,97.23
291.68,25.32,11.49,9.31,43.2,0,123.12,121.51
227.04,23.91,10.94,9.36,41.85,0,79.1,92.75
210.6,25.19,11.44,8.83,31.31,0,57.47,102.57
163.45,27.62,11.57,9,38.7,0,51.67,75.19
132.73,27.84,12.24,8.55,28.71,0,37.57,62.96
108.09,25.75,10.95,9.1,20.88,0,44.77,58.46
118.78,23.52,11.18,9.39,35.83,0,40.87,65.52
118.04,24.35,10.7,9.11,27.84,0,37.59,60.93
150.72,23.82,11.43,9.39,33.89,0,40.6,75.94
169.13,27,11.17,8.85,35.45,0,42.45,88.38
198.7,25.34,10.34,9.33,39.56,0,38.2,97.45
184.15,25.24,10.48,9.36,37.82,0,39.87,96.71
260,24.52,10.36,9.04,38.28,0,36.79,95.3
101.12,26.07,10.52,9.31,27.68,0,35.83,53.79
93.27,23.85,10.19,8.95,31.8,0,25,39.46
0,24.02,9.85,9.32,25.17,0,25.15,30.3
0,23.08,10.04,9.23,25.92,0,21.8,0
0,24.88,10.17,9.23,22.17,0,27.68,0
0,24.85,11.08,8.97,30.92,0,35.42,0
0,24.64,13.28,8.98,36.41,0,34.62,0
0,25.09,10.8,8.79,35.33,0,25.03,0
0,22.54,9.88,9.41,34.8,0,25.28,0
0,25.04,11.77,8.99,34.96,0,32.92,0
0,24.59,11.73,9.26,23.91,0,59.86,0
0,26.71,12.25,9.25,33.25,0,22.02,0
219.74,25.19,10.79,8.72,30.84,2.07,39.35,71.64
114.63,26.1,11.99,8.68,31.92,2.18,84.33,43.66
71.51,23.54,10.41,9.09,20.37,1.41,116.02,30.28
90.94,25.8,11.57,9.55,30.37,1.99,110.15,32.55
81.22,23.46,10.15,8.55,38.06,2.87,82.57,54.1
102.08,23.84,9.29,9.05,41.72,3.19,49.45,84.13
87.15,26.83,11.46,8.83,43.76,2.82,56.76,84.8
91.8,25.77,10.04,9.18,38.22,2.43,66.95,82.62
93,22.47,10.69,8.74,31.4,2.2,47.8,90.55
87.82,22.77,10.54,9.33,29.7,2.1,58.56,70.41
69.19,23.38,10.43,9.25,23.06,1.48,83.55,36.56
70.99,23.29,9.99,9.06,30.41,1.45,75.49,52.63
71.74,24.1,9.91,9.21,22.72,1.24,52.84,52.53
52.37,22,9.87,9.12,20.05,0.98,62.34,42.84
62.24,23.79,9.64,9.14,22.83,1.24,42.64,44.86
83.21,26.13,10.79,8.93,38.02,2.33,38.03,58.27
100.99,25.48,10.74,9.24,42.32,2.45,38.39,71.73
114.57,24.52,11.36,9.26,45.88,2.79,56.16,81.62
97.8,24.51,10.95,9.23,27.12,1.77,47.91,53.18
122.84,24.88,10.47,9.3,42.19,2.57,95.49,74.82
103.46,23.74,11.53,8.77,43.59,2.61,89.05,53.29
95.5,24.07,11.57,9.14,25.69,1.82,47.26,62.8
121.49,24.48,11.13,9.1,41.36,2.56,37.53,81.69
108.79,26.86,10.66,8.8,27.42,1.41,48.98,52.76
95.31,26.16,11.3,8.86,29.18,1.6,40.59,47.89
124.82,24.27,11.19,8.94,42.96,2.13,42.76,75.38
128.57,25.78,11.05,8.95,34.8,2.09,53.29,72.57
